Variant SKU,Video URL
BR0001-A-6x6-W-14k-f,https://cdn.shopify.com/videos/c/o/v/d1dfefb16419452297b70381ad90fecc.mp4
BR0001-A-7x7-W-14k-f,https://cdn.shopify.com/videos/c/o/v/69c9a73792474ed99c546018ca152f21.mp4
BR0001-O-7x5-W-14k-f,https://cdn.shopify.com/videos/c/o/v/9714e630e35f4e37bec07b15a436bbf6.mp4
BR0001-O-8x6-W-14k-f,https://cdn.shopify.com/videos/c/o/v/9b157b0dd53c4cba97cc4d2f9b201545.mp4
BR0001-O-9x7-W-14k-f,https://cdn.shopify.com/videos/c/o/v/cbd0c39af4ab4699bd3222b4fb59e69f.mp4
BR0001-C-6x6-W-14k-f,https://cdn.shopify.com/videos/c/o/v/6bfd956d5ffc4efb98a81dfd884b2ad2.mp4
BR0001-C-7x7-W-14k-f,https://cdn.shopify.com/videos/c/o/v/ee53e217a1d84446be68cb04abb05db1.mp4
BR0001-C-8x8-W-14k-f,https://cdn.shopify.com/videos/c/o/v/53812628bbbb4e94916b09493e0ca55d.mp4
BR0001-E-7x5-W-14k-f,https://cdn.shopify.com/videos/c/o/v/c0dec82a19644f3683ab774b381ae695.mp4
BR0001-E-8x6-W-14k-f,https://cdn.shopify.com/videos/c/o/v/0979e0a342fb45dda824aad080b4e6ab.mp4
BR0001-E-9x7-W-14k-f,https://cdn.shopify.com/videos/c/o/v/61feb5aa6de94d54bf5f5dee8d59d630.mp4
BR0001-E-8x6-W-14k-f,https://cdn.shopify.com/videos/c/o/v/0979e0a342fb45dda824aad080b4e6ab.mp4
BR0001-P-6x6-W-14k-f, https://cdn.shopify.com/videos/c/o/v/5394bdf5b43d44a68a5367d74c48c666.mp4
BR0001-P-7x7-W-14k-f, https://cdn.shopify.com/videos/c/o/v/5f8f1f97e51c40d9907a4733ba8711a9.mp4
BR0001-P-8x8-W-14k-f, https://cdn.shopify.com/videos/c/o/v/48ce370c5a9e4fa3ac30e9d89997fe19.mp4
BR0001-R-6.5-W-14k-f,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-8-W-14k-f,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-9.4-W-14k-f,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
BR0001-A-6x6-W-18k-f,https://cdn.shopify.com/videos/c/o/v/d1dfefb16419452297b70381ad90fecc.mp4
BR0001-A-7x7-W-18k-f,https://cdn.shopify.com/videos/c/o/v/69c9a73792474ed99c546018ca152f21.mp4
BR0001-O-7x5-W-18k-f,https://cdn.shopify.com/videos/c/o/v/9714e630e35f4e37bec07b15a436bbf6.mp4
BR0001-O-8x6-W-18k-f,https://cdn.shopify.com/videos/c/o/v/9b157b0dd53c4cba97cc4d2f9b201545.mp4
BR0001-O-9x7-W-18k-f,https://cdn.shopify.com/videos/c/o/v/cbd0c39af4ab4699bd3222b4fb59e69f.mp4
BR0001-C-6x6-W-18k-f,https://cdn.shopify.com/videos/c/o/v/6bfd956d5ffc4efb98a81dfd884b2ad2.mp4
BR0001-C-7x7-W-18k-f,https://cdn.shopify.com/videos/c/o/v/ee53e217a1d84446be68cb04abb05db1.mp4
BR0001-C-8x8-W-18k-f,https://cdn.shopify.com/videos/c/o/v/53812628bbbb4e94916b09493e0ca55d.mp4
