V1`ariant SKU,Diamond SKU,Image 1,Image 2,Variant SKU
BP0001-C-1CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-1ctw-W-B.jpg?v=1749227113,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-1ctw-W-C.jpg?v=1749227113,BP0001-C-1CTW-W-14k-f-
BP0001-C-2CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-2ctw-W-B.jpg?v=1749227171,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-2ctw-W-C.jpg?v=1749227171,BP0001-C-2CTW-W-14k-f-
BP0001-C-3CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-3ctw-W-B.jpg?v=1749227224,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-3ctw-W-C.jpg?v=1749227224,BP0001-C-3CTW-W-14k-f-
BP0001-C-4CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-4ctw-W-B.jpg?v=1749227278,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-4ctw-W-C.jpg?v=1749227277,BP0001-C-4CTW-W-14k-f-
BP0001-C-5CTW-W-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-5ctw-W-B.jpg?v=1749227331,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-5ctw-W-C.jpg?v=1749227331,BP0001-C-5CTW-W-14k-f-
BP0001-O-1CTW-W-14k-f,E7D71389A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-1ctw-W-B.jpg?v=1749224636,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-1ctw-W-C.jpg?v=1749224636,BP0001-O-1CTW-W-14k-f-E7D71389A
BP0001-O-2CTW-W-14k-f,81B19F375,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-2ctw-W-B.jpg?v=1749224791,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-2ctw-W-C.jpg?v=1749224790,BP0001-O-2CTW-W-14k-f-81B19F375
BP0001-O-3CTW-W-14k-f,9E4F4E3EF,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-3ctw-W-B.jpg?v=1749224875,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-3ctw-W-C.jpg?v=1749224875,BP0001-O-3CTW-W-14k-f-9E4F4E3EF
BP0001-O-4CTW-W-14k-f,0C3158200,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-4ctw-W-B.jpg?v=1749224996,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-4ctw-W-C.jpg?v=1749224996,BP0001-O-4CTW-W-14k-f-0C3158200
BP0001-O-5CTW-W-14k-f,1509E0EF8,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-5ctw-W-B.jpg?v=1749225099,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-5ctw-W-C.jpg?v=1749225099,BP0001-O-5CTW-W-14k-f-1509E0EF8
