Variant SKU,Video URL
BR0001-R-6.5-W-14k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-8-W-14k-f-CEFA284D0,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-9.4-W-14k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
BR0001-R-6.5-W-18k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-8-W-18k-f-CEFA284D0,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-9.4-W-18k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
BR0001-R-6.5-P-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-8-P-f-CEFA284D0,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-9.4-P-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
BR0001-R-6.5-Y-14k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/9404e51930fe49ed9e2cb4e7bd63a52f.mp4
BR0001-R-8-Y-14k-f-02989AC97,https://cdn.shopify.com/videos/c/o/v/3e64a0a19590487b8b064e59142d232b.mp4
BR0001-R-9.4-Y-14k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/28a03459eab44512b38a3cd68fcb87d8.mp4
BR0001-R-6.5-Y-18k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/9404e51930fe49ed9e2cb4e7bd63a52f.mp4
BR0001-R-8-Y-18k-f-69BDE9977,https://cdn.shopify.com/videos/c/o/v/3e64a0a19590487b8b064e59142d232b.mp4
BR0001-R-9.4-Y-18k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/28a03459eab44512b38a3cd68fcb87d8.mp4
BR0001-R-6.5-R-14k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/fbff1fed622a4b1ca6e86f6439ce78e8.mp4
BR0001-R-8-R-14k-f-69BDE9977,https://cdn.shopify.com/videos/c/o/v/c69f138bf92d41e8bec20caf290f7054.mp4
BR0001-R-9.4-R-14k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/3b941c4ed6bd49c88d645df5fc5d4d8d.mp4
BR0001-R-6.5-R-18k-f-C637747BF/RN,https://cdn.shopify.com/videos/c/o/v/fbff1fed622a4b1ca6e86f6439ce78e8.mp4
BR0001-R-8-R-18k-f-CEFA284D0,https://cdn.shopify.com/videos/c/o/v/c69f138bf92d41e8bec20caf290f7054.mp4
BR0001-R-9.4-R-18k-f-0B24FE974,https://cdn.shopify.com/videos/c/o/v/3b941c4ed6bd49c88d645df5fc5d4d8d.mp4
BR0002-PS-8x6-W-14k-f-C5A81F763, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-W-E.jpg?v=1749050272
BR0002-PS-10x7-W-14k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-W-E.jpg?v=1749050494
BR0002-R-6.5-W-14k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5MM-W-E.jpg?v=1749047461
BR0002-R-8-W-14k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-W-E.jpg?v=1749047596
BR0002-R-9.4-W-14k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-W-E.jpg?v=1749047701
BR0002-R-10-W-14k-f-02989AC97, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-W-E.jpg?v=1749047796
BR0002-R-11-W-14k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-W-E.jpg?v=1749047923
BR0002-M-10x5-W-14k-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-W-E.jpg?v=1749050923
BR0002-M-12x6-W-14k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-W-E.jpg?v=1749051095
BR0002-PS-8x6-W-18k-f-C5A81F763, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-W-E.jpg?v=1749050272
BR0002-PS-10x7-W-18k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-W-E.jpg?v=1749050494
BR0002-R-6.5-W-18k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5MM-W-E.jpg?v=1749047461
BR0002-R-8-W-18k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-W-E.jpg?v=1749047596
BR0002-R-9.4-W-18k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-W-E.jpg?v=1749047701
BR0002-R-10-W-18k-f-02989AC97, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-W-E.jpg?v=1749047796
BR0002-R-11-W-18k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-W-E.jpg?v=1749047923
BR0002-M-12x6-W-18k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-W-E.jpg?v=1749051095
BR0002-PS-8x6-P-f-C5A81F763, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-W-E.jpg?v=1749050272
BR0002-PS-10x7-P-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-W-E.jpg?v=1749050494
BR0002-R-6.5-P-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5MM-W-E.jpg?v=1749047461
BR0002-R-8-P-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-W-E.jpg?v=1749047596
BR0002-R-9.4-P-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-W-E.jpg?v=1749047701
BR0002-R-10-P-f-02989AC97, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-W-E.jpg?v=1749047796
BR0002-R-11-P-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-W-E.jpg?v=1749047923
BR0002-M-10x5-P-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-W-E.jpg?v=1749050923
BR0002-M-12x6-P-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-W-E.jpg?v=1749051095
BR0002-PS-10x7-Y-14k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-Y-E.jpg?v=1749051411
BR0002-R-6.5-Y-14k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5mm-Y-E.jpg?v=1749048388
BR0002-R-8-Y-14k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8mm-Y-E.jpg?v=1749048468
BR0002-R-9.4-Y-14k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-Y-E.jpg?v=1749048556
BR0002-R-10-Y-14k-f-02989AC97, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-Y-E.jpg?v=1749048655
BR0002-R-11-Y-14k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-Y-E.jpg?v=1749048772
BR0002-M-10x5-14k-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-Y-E.jpg?v=1749051264
BR0002-M-12x6-Y-14k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-Y-E.jpg?v=1749051372
BR0002-PS-10x7-Y-18k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-Y-E.jpg?v=1749051411
BR0002-R-6.5-Y-18k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5mm-Y-E.jpg?v=1749048388
BR0002-R-8-Y-18k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8mm-Y-E.jpg?v=1749048468
BR0002-R-9.4-Y-18k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-Y-E.jpg?v=1749048556
BR0002-R-10-Y-18k-f-02989AC97, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-Y-E.jpg?v=1749048655
BR0002-R-11-Y-18k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-Y-E.jpg?v=1749048772
BR0002-M-10x5-18k-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-Y-E.jpg?v=1749051264
BR0002-M-12x6-Y-18k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-Y-E.jpg?v=1749051372
BR0002-PS-8x6-R-14k-f-C5A81F763, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-R-E.jpg?v=1749051656
BR0002-PS-10x7-R-14k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-R-E.jpg?v=1749051911
BR0002-R-6.5-R-14k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5mm-R-E.jpg?v=1749049048
BR0002-R-8-R-14k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-R-E.jpg?v=1749049165
BR0002-R-9.4-R-14k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4MM-R-E.jpg?v=1749049265
BR0002-R-10-R-14k-f-02989AC97,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-R-E.jpg?v=1749552911
BR0002-R-11-R-14k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-R-E.jpg?v=1749049748
BR0002-M-10x5-R-14k-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-R-E.jpg?v=1749051557
BR0002-M-12x6-R-14k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-R-E.jpg?v=1749051674
BR0002-PS-8x6-R-18k-f-C5A81F763, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-R-E.jpg?v=1749051656
BR0002-PS-10x7-R-18k-f-A8628071D, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-R-E.jpg?v=1749051911
BR0002-R-6.5-R-18k-f-C637747BF/RN, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5mm-R-E.jpg?v=1749049048
BR0002-R-8-R-18k-f-CEFA284D0, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-R-E.jpg?v=1749049165
BR0002-R-9.4-R-18k-f-0B24FE974, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4MM-R-E.jpg?v=1749049265
BR0002-R-10-R-18k-f-02989AC97,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-R-E.jpg?v=1749552911
BR0002-R-11-R-18k-f-69BDE9977, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-R-E.jpg?v=1749049748
BR0002-M-10x5-R-18k-f-AF97F8274,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-10x5MM-R-E.jpg?v=1749051557
BR0002-M-12x6-R-18k-f-A845D3662,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-M-12x6MM-R-E.jpg?v=1749051674
BR0003-PS-8x6-W-14k-f-C5A81F763, https://cdn.shopify.com/videos/c/o/v/d810c527383c4516b4f9ba31f36e0893.mp4
BR0003-PS-10x7-W-14k-f-A8628071D, https://cdn.shopify.com/videos/c/o/v/e1f9beff6b9e4cb5a7358804368b3668.mp4
