Variant SKU,Video URL
BR0001-R-Halo-W-14k-c50273,https://cdn.shopify.com/videos/c/o/v/d1dfefb16419452297b70381ad90fecc.mp4
BR0001-E-Contemporary-W-14k-c53873,https://cdn.shopify.com/videos/c/o/v/69c9a73792474ed99c546018ca152f21.mp4
BR0001-P-7xHalo-18k-c53446 ,https://cdn.shopify.com/videos/c/o/v/9714e630e35f4e37bec07b15a436bbf6.mp4
BR0001-C-Vintage-W-14k-c35883 ,https://cdn.shopify.com/videos/c/o/v/9b157b0dd53c4cba97cc4d2f9b201545.mp4
BR0001-M-Under-Halo-R-18k-c17143 ,https://cdn.shopify.com/videos/c/o/v/cbd0c39af4ab4699bd3222b4fb59e69f.mp4
BR0001-C-Sidestone-W-18k-c19096 ,https://cdn.shopify.com/videos/c/o/v/6bfd956d5ffc4efb98a81dfd884b2ad2.mp4
BR0001-E-Gemstone-W-14k-c49665 ,https://cdn.shopify.com/videos/c/o/v/ee53e217a1d84446be68cb04abb05db1.mp4
BR0001-C-Three-Stone-W-14k-c38205 ,https://cdn.shopify.com/videos/c/o/v/53812628bbbb4e94916b09493e0ca55d.mp4
BR0001-E-Fancy-Color-W-18k-c57184 ,https://cdn.shopify.com/videos/c/o/v/c0dec82a19644f3683ab774b381ae695.mp4
BR0001-Pe-Solitaire-W-14k-c54421 ,https://cdn.shopify.com/videos/c/o/v/0979e0a342fb45dda824aad080b4e6ab.mp4
BR0001-E-Vintage-Y-14k-c72433 ,https://cdn.shopify.com/videos/c/o/v/61feb5aa6de94d54bf5f5dee8d59d630.mp4
BR0001-A-Contemporary-R-18k-c30167 ,https://cdn.shopify.com/videos/c/o/v/0979e0a342fb45dda824aad080b4e6ab.mp4
BR0001-P-Fancy-Color-W-14k-c37560 , https://cdn.shopify.com/videos/c/o/v/5394bdf5b43d44a68a5367d74c48c666.mp4
BR0001-P-Three-Stone-Y-14k-c72809 , https://cdn.shopify.com/videos/c/o/v/5f8f1f97e51c40d9907a4733ba8711a9.mp4
BR0001-C-Halo-W-14k-c62589, https://cdn.shopify.com/videos/c/o/v/48ce370c5a9e4fa3ac30e9d89997fe19.mp4
BR0001-R-Gemstone-R-14k-c44372,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-Under-Halo-W-18k-c62749,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-Fancy-Color-W-14k-c18991 ,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
