Stone Size Each,Diamond Shape,Metal Color,Total Carat Weight,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4
0.10ct,Round,Yellow Gold,4ctw,Milania | Yellow Gold | 4ctw,Olivia | Yellow Gold | 4ctw,Olivia | Yellow Gold | 4ctw,Nova | Yellow Gold | 4ctw
0.10ct,Round,Yellow Gold,5ctw,Olivia | Yellow Gold | 5ctw,Nova | Yellow Gold | 5ctw,Olivia | Yellow Gold | 5ctw,Milania | Yellow Gold | 5ctw
0.10ct,Round,Yellow Gold,7ctw,Milania | Yellow Gold | 7ctw,Nova | Yellow Gold | 7ctw,Olivia | Yellow Gold | 7ctw,Milania | Yellow Gold | 7ctw
0.10ct,Round,Yellow Gold,10ctw,Nova | Yellow Gold | 10ctw,Olivia | Yellow Gold | 10ctw,Milania | Yellow Gold | 10ctw,Nova | Yellow Gold | 10ctw
0.10ct,Round,Yellow Gold,12ctw,Nova | Yellow Gold | 12ctw,Nova | Yellow Gold | 12ctw,Milania | Yellow Gold | 12ctw,Olivia | Yellow Gold | 12ctw
0.10ct,Round,Yellow Gold,15ctw,Olivia | Yellow Gold | 15ctw,Milania | Yellow Gold | 15ctw,Nova | Yellow Gold | 15ctw,Nova | Yellow Gold | 15ctw
0.10ct,Round,Yellow Gold,20ctw+,Olivia | Yellow Gold | 20ctw+,Nova | Yellow Gold | 20ctw+,Milania | Yellow Gold | 20ctw+,Milania | Yellow Gold | 20ctw+
0.10ct,Round,White Gold,4ctw,Olivia | White Gold | 4ctw,Milania | White Gold | 4ctw,Nova | White Gold | 4ctw,Nova | White Gold | 4ctw
0.10ct,Round,White Gold,5ctw,Milania | White Gold | 5ctw,Olivia | White Gold | 5ctw,Olivia | White Gold | 5ctw,Nova | White Gold | 5ctw
0.10ct,Round,White Gold,7ctw,Nova | White Gold | 7ctw,Milania | White Gold | 7ctw,Milania | White Gold | 7ctw,Olivia | White Gold | 7ctw
0.10ct,Round,White Gold,10ctw,Nova | White Gold | 10ctw,Nova | White Gold | 10ctw,Milania | White Gold | 10ctw,Olivia | White Gold | 10ctw
0.10ct,Round,White Gold,12ctw,Milania | White Gold | 12ctw,Nova | White Gold | 12ctw,Olivia | White Gold | 12ctw,Olivia | White Gold | 12ctw
0.10ct,Round,White Gold,15ctw,Nova | White Gold | 15ctw,Milania | White Gold | 15ctw,Olivia | White Gold | 15ctw,Milania | White Gold | 15ctw
0.10ct,Round,White Gold,20ctw+,Milania | White Gold | 20ctw+,Olivia | White Gold | 20ctw+,Olivia | White Gold | 20ctw+,Nova | White Gold | 20ctw+
0.10ct,Round,Rose Gold,4ctw,Nova | Rose Gold | 4ctw,Milania | Rose Gold | 4ctw,Olivia | Rose Gold | 4ctw,Milania | Rose Gold | 4ctw
0.10ct,Round,Rose Gold,5ctw,Milania | Rose Gold | 5ctw,Nova | Rose Gold | 5ctw,Olivia | Rose Gold | 5ctw,Olivia | Rose Gold | 5ctw
0.10ct,Round,Rose Gold,7ctw,Nova | Rose Gold | 7ctw,Milania | Rose Gold | 7ctw,Milania | Rose Gold | 7ctw,Olivia | Rose Gold | 7ctw
0.10ct,Round,Rose Gold,10ctw,Milania | Rose Gold | 10ctw,Milania | Rose Gold | 10ctw,Nova | Rose Gold | 10ctw,Olivia | Rose Gold | 10ctw
0.10ct,Round,Rose Gold,12ctw,Nova | Rose Gold | 12ctw,Olivia | Rose Gold | 12ctw,Milania | Rose Gold | 12ctw,Milania | Rose Gold | 12ctw
0.10ct,Round,Rose Gold,15ctw,Olivia | Rose Gold | 15ctw,Milania | Rose Gold | 15ctw,Olivia | Rose Gold | 15ctw,Nova | Rose Gold | 15ctw
0.10ct,Round,Rose Gold,20ctw+,Milania | Rose Gold | 20ctw+,Nova | Rose Gold | 20ctw+,Olivia | Rose Gold | 20ctw+,Olivia | Rose Gold | 20ctw+
0.10ct,Princess,Yellow Gold,4ctw,Milania | Yellow Gold | 4ctw,Nova | Yellow Gold | 4ctw,Olivia | Yellow Gold | 4ctw,Nova | Yellow Gold | 4ctw
0.10ct,Princess,Yellow Gold,5ctw,Olivia | Yellow Gold | 5ctw,Milania | Yellow Gold | 5ctw,Olivia | Yellow Gold | 5ctw,Nova | Yellow Gold | 5ctw
0.10ct,Princess,Yellow Gold,7ctw,Milania | Yellow Gold | 7ctw,Olivia | Yellow Gold | 7ctw,Nova | Yellow Gold | 7ctw,Nova | Yellow Gold | 7ctw
0.10ct,Princess,Yellow Gold,10ctw,Milania | Yellow Gold | 10ctw,Olivia | Yellow Gold | 10ctw,Nova | Yellow Gold | 10ctw,Milania | Yellow Gold | 10ctw
0.10ct,Princess,Yellow Gold,12ctw,Olivia | Yellow Gold | 12ctw,Nova | Yellow Gold | 12ctw,Olivia | Yellow Gold | 12ctw,Milania | Yellow Gold | 12ctw
0.10ct,Princess,Yellow Gold,15ctw,Olivia | Yellow Gold | 15ctw,Milania | Yellow Gold | 15ctw,Milania | Yellow Gold | 15ctw,Nova | Yellow Gold | 15ctw
0.10ct,Princess,Yellow Gold,20ctw+,Nova | Yellow Gold | 20ctw+,Milania | Yellow Gold | 20ctw+,Nova | Yellow Gold | 20ctw+,Olivia | Yellow Gold | 20ctw+
0.10ct,Princess,White Gold,4ctw,Milania | White Gold | 4ctw,Nova | White Gold | 4ctw,Milania | White Gold | 4ctw,Olivia | White Gold | 4ctw
0.10ct,Princess,White Gold,5ctw,Olivia | White Gold | 5ctw,Nova | White Gold | 5ctw,Milania | White Gold | 5ctw,Milania | White Gold | 5ctw
0.10ct,Princess,White Gold,7ctw,Olivia | White Gold | 7ctw,Milania | White Gold | 7ctw,Nova | White Gold | 7ctw,Milania | White Gold | 7ctw
0.10ct,Princess,White Gold,10ctw,Olivia | White Gold | 10ctw,Olivia | White Gold | 10ctw,Milania | White Gold | 10ctw,Nova | White Gold | 10ctw
0.10ct,Princess,White Gold,12ctw,Milania | White Gold | 12ctw,Nova | White Gold | 12ctw,Olivia | White Gold | 12ctw,Olivia | White Gold | 12ctw
0.10ct,Princess,White Gold,15ctw,Milania | White Gold | 15ctw,Nova | White Gold | 15ctw,Milania | White Gold | 15ctw,Olivia | White Gold | 15ctw
0.10ct,Princess,White Gold,20ctw+,Nova | White Gold | 20ctw+,Olivia | White Gold | 20ctw+,Nova | White Gold | 20ctw+,Milania | White Gold | 20ctw+
0.10ct,Princess,Rose Gold,4ctw,Olivia | Rose Gold | 4ctw,Milania | Rose Gold | 4ctw,Nova | Rose Gold | 4ctw,Milania | Rose Gold | 4ctw
0.10ct,Princess,Rose Gold,5ctw,Olivia | Rose Gold | 5ctw,Milania | Rose Gold | 5ctw,Olivia | Rose Gold | 5ctw,Nova | Rose Gold | 5ctw
0.10ct,Princess,Rose Gold,7ctw,Nova | Rose Gold | 7ctw,Milania | Rose Gold | 7ctw,Olivia | Rose Gold | 7ctw,Milania | Rose Gold | 7ctw
0.10ct,Princess,Rose Gold,10ctw,Milania | Rose Gold | 10ctw,Nova | Rose Gold | 10ctw,Olivia | Rose Gold | 10ctw,Nova | Rose Gold | 10ctw
0.10ct,Princess,Rose Gold,12ctw,Olivia | Rose Gold | 12ctw,Olivia | Rose Gold | 12ctw,Milania | Rose Gold | 12ctw,Nova | Rose Gold | 12ctw
0.10ct,Princess,Rose Gold,15ctw,Nova | Rose Gold | 15ctw,Nova | Rose Gold | 15ctw,Milania | Rose Gold | 15ctw,Olivia | Rose Gold | 15ctw
0.10ct,Princess,Rose Gold,20ctw+,Nova | Rose Gold | 20ctw+,Milania | Rose Gold | 20ctw+,Olivia | Rose Gold | 20ctw+,Olivia | Rose Gold | 20ctw+
0.10ct,Cushion,Yellow Gold,4ctw,Olivia | Yellow Gold | 4ctw,Milania | Yellow Gold | 4ctw,Nova | Yellow Gold | 4ctw,Nova | Yellow Gold | 4ctw
0.10ct,Cushion,Yellow Gold,5ctw,Milania | Yellow Gold | 5ctw,Milania | Yellow Gold | 5ctw,Olivia | Yellow Gold | 5ctw,Nova | Yellow Gold | 5ctw
0.10ct,Cushion,Yellow Gold,7ctw,Milania | Yellow Gold | 7ctw,Milania | Yellow Gold | 7ctw,Nova | Yellow Gold | 7ctw,Olivia | Yellow Gold | 7ctw
0.10ct,Cushion,Yellow Gold,10ctw,Olivia | Yellow Gold | 10ctw,Milania | Yellow Gold | 10ctw,Nova | Yellow Gold | 10ctw,Olivia | Yellow Gold | 10ctw
0.10ct,Cushion,Yellow Gold,12ctw,Nova | Yellow Gold | 12ctw,Olivia | Yellow Gold | 12ctw,Olivia | Yellow Gold | 12ctw,Milania | Yellow Gold | 12ctw
0.10ct,Cushion,Yellow Gold,15ctw,Nova | Yellow Gold | 15ctw,Olivia | Yellow Gold | 15ctw,Milania | Yellow Gold | 15ctw,Milania | Yellow Gold | 15ctw
0.10ct,Cushion,Yellow Gold,20ctw+,Milania | Yellow Gold | 20ctw+,Olivia | Yellow Gold | 20ctw+,Nova | Yellow Gold | 20ctw+,Olivia | Yellow Gold | 20ctw+
0.10ct,Cushion,White Gold,4ctw,Olivia | White Gold | 4ctw,Nova | White Gold | 4ctw,Nova | White Gold | 4ctw,Milania | White Gold | 4ctw
0.10ct,Cushion,White Gold,5ctw,Milania | White Gold | 5ctw,Milania | White Gold | 5ctw,Nova | White Gold | 5ctw,Olivia | White Gold | 5ctw
