Shapes,Talent Show,Prom Jewelry,Glove Size,Style 1,Shape 1,Carat 1,Metal 1,Gold Color 1,Style 2,Shape 2,Carat 2,Metal 2,Gold Color 2,Style 3,Shape 3,Carat 3,Metal 3,Gold Color 3,Style 4,Shape 4,Carat 4,Metal 4,Gold Color 4,Personality
Round,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,MIA,Round,2ct,18k,Yellow,EMILIA,Round,2ct,14k,Rose,CATERINA,Round,2ct,18k,Rose,Emma,Round,2ct,14k,Yellow,Glamorous
Round,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,MIA,Round,2ct,18k,Yellow,GABRIELLA,Round,2ct,Platinum,White,MIA,Round,2ct,Platinum,White,EMILIA,Round,2ct,14k,Rose,Glamorous
Round,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Emma,Round,4ct,14k,White,GABRIELLA,Round,3ct,Platinum,White,Emma,Round,3ct,14k,White,GABRIELLA,Round,4ct,18k,Rose,Glamorous
Round,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Emma,Round,5ct,14k,Yellow,Emma,Round,5ct,14k,White,Emma,Round,4ct,Platinum,White,MIA,Round,4ct,Platinum,White,Glamorous
Round,Center Stage,Necklace & Earrings,X-Small,GIULIA,Round,2ct,Platinum,White,DANIELLA,Round,2ct,18k,Yellow,CAMILLA,Round,2ct,14k,Rose,DANIELLA,Round,2ct,14k,Rose,Classic
Round,Center Stage,Necklace & Earrings,Small,GIULIA,Round,2ct,Platinum,White,ARIA,Round,2ct,14k,Yellow,CAMILLA,Round,2ct,Platinum,White,GIORGINA,Round,2ct,18k,Yellow,Classic
Round,Center Stage,Necklace & Earrings,Medium,CAMILLA,Round,2ct,Platinum,White,ARIA,Round,4ct,18k,Rose,GIULIA,Round,2ct,14k,Rose,ARIA,Round,4ct,14k,Yellow,Classic
Round,Center Stage,Necklace & Earrings,Large,GIORGINA,Round,2ct,14k,Rose,ARIA,Round,4ct,Platinum,White,GIULIA,Round,2ct,Platinum,White,GIULIA,Round,1ct,Platinum,White,Classic
Round,Center Stage,Earrings Only,X-Small,Gianna,Round,2ct,Platinum,White,Alessia,Round,1ct,Platinum,White,Elena,Round,2ct,Platinum,White,Francesca,Round,2ct,Platinum,White,Trendy
Round,Center Stage,Earrings Only,Small,Francesca,Round,2ct,14k,White,Gianna,Round,2ct,Platinum,White,Alessia,Round,2ct,18k,White,Francesca,Round,2ct,Platinum,White,Trendy
Round,Center Stage,Earrings Only,Medium,Francesca,Round,1ct,14k,Yellow,Alessia,Round,3ct,18k,White,Gianna,Round,2ct,18k,Yellow,Alessia,Round,1ct,18k,White,Trendy
Round,Center Stage,Earrings Only,Large,Gianna,Round,2ct,18k,Rose,Francesca,Round,1ct,18k,Yellow,Gianna,Round,2ct,14k,White,Elena,Round,3ct,18k,White,Trendy
Round,Center Stage,No Jewelry,X-Small,Beatrice,Round,2ct,18k,Yellow,Gianna,Round,2ct,Platinum,White,Gianna,Round,2ct,18k,Yellow,Beatrice,Round,2ct,14k,Yellow,Trendy
Round,Center Stage,No Jewelry,Small,Beatrice,Round,2ct,18k,Yellow,Alessia,Round,1ct,18k,White,Beatrice,Round,1ct,Platinum,White,Elena,Round,1ct,18k,White,Trendy
Round,Center Stage,No Jewelry,Medium,Gianna,Round,2ct,18k,Yellow,Gianna,Round,1ct,Platinum,White,Gianna,Round,1ct,14k,Yellow,Alessia,Round,1ct,18k,Yellow,Trendy
Round,Center Stage,No Jewelry,Large,Elena,Round,2ct,14k,Rose,Alessia,Round,1ct,Platinum,White,Francesca,Round,1ct,18k,Rose,Alessia,Round,1ct,18k,White,Trendy
Round,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,14k,White,Minimalistic
Round,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Minimalistic
Round,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Round,4ct,18k,Yellow,Gemma,Round,5ct,Platinum,White,Gemma,Round,4ct,14k,Rose,Gemma,Round,5ct,Platinum,White,Minimalistic
Round,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Round,4ct,14k,Rose,Gemma,Round,4ct,Platinum,White,Gemma,Round,4ct,14k,White,Gemma,Round,3ct,18k,Yellow,Minimalistic
Round,In Crowd,Necklace & Earrings,X-Small,GIORGINA,Round,2ct,Platinum,White,CAMILLA,Round,2ct,14k,Rose,Bianca,Round,2ct,18k,White,ARIA,Round,2ct,14k,Rose,Classic
Round,In Crowd,Necklace & Earrings,Small,ARIA,Round,2ct,Platinum,White,Arianna,Round,2ct,14k,White,Donatella,Round,2ct,14k,Rose,ARIA,Round,2ct,18k,White,Classic
Round,In Crowd,Necklace & Earrings,Medium,ARIA,Round,3ct,14k,Yellow,Donatella,Round,2ct,Platinum,White,CAMILLA,Round,4ct,14k,White,GIORGINA,Round,3ct,14k,White,Classic
Round,In Crowd,Necklace & Earrings,Large,ARIA,Round,1ct,Platinum,White,DANIELLA,Round,4ct,Platinum,White,Arianna,Round,2ct,14k,Yellow,Arianna,Round,1ct,Platinum,White,Classic
Round,In Crowd,Earrings Only,X-Small,Alessia,Round,2ct,18k,Yellow,Gianna,Round,1ct,Platinum,White,Gianna,Round,2ct,18k,Rose,Gianna,Round,2ct,Platinum,White,Trendy
Round,In Crowd,Earrings Only,Small,Francesca,Round,2ct,14k,Rose,Alessia,Round,1ct,18k,Rose,Alessia,Round,2ct,14k,White,Francesca,Round,2ct,14k,Yellow,Trendy
Round,In Crowd,Earrings Only,Medium,Gianna,Round,2ct,18k,White,Gianna,Round,1ct,18k,Yellow,Elena,Round,2ct,14k,White,Gianna,Round,2ct,14k,White,Trendy
Round,In Crowd,Earrings Only,Large,Gianna,Round,2ct,18k,Yellow,Gianna,Round,3ct,14k,Yellow,Alessia,Round,2ct,18k,Yellow,Beatrice,Round,2ct,14k,Yellow,Trendy
Round,In Crowd,No Jewelry,X-Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,In Crowd,No Jewelry,Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,14k,White,Minimalistic
